eventid,id,ccode,countryname,startdate,enddate,duration,stday,stmo,styr,eday,emo,eyr,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,notes,coder,acd_questionable,latitude,longitude,geo_comments,location_precision
4040001,1,404,Guinea-Bissau,13-Apr-95,15-Apr-95,3,13,4,1995,15,4,1995,5,0,National Workers' Union members,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Workers strike to protest government salary plan that will not pay enough to afford basic survival.,1,,CC,0,12.0758,-14.6407,,
4040002,2,404,Guinea-Bissau,2-Sep-96,2-Sep-96,1,2,9,1996,2,9,1996,4,0,African nationals expelled from Spain,,,central government,,1,0,2,0,1,Bissau,Bissau,1,1,1,10,,,African nationals expelled from Spain violently protest their detention conditions.,1,,CC,0,11.8667,-15.6,,
4040003,3,404,Guinea-Bissau,3-Sep-96,3-Sep-96,1,3,9,1996,3,9,1996,2,0,African nationals expelled from Spain,,,central government,Spain,1,0,2,0,0,Bissau,Bissau,1,1,1,10,13,,African nationals expelled from Spain peacefully protest their detention conditions and demand their return to Spain.,0,,CC,0,11.8667,-15.6,,
4040004,4,404,Guinea-Bissau,1-May-97,31-May-97,31,1,5,1997,31,5,1997,2,0,state employees,,,central government,,1,0,-99,0,0,Bissau and other cities,Bissau,1,4,4,2,,,State employees riot and protest over unpaid salary and working conditions.,0,Start and end dates are estimates.  Protests occurred throughout the month of May.,CC,0,11.8667,-15.6,,
-4040005,5,404,Guinea-Bissau,7-Jun-98,10-May-99,338,7,6,1998,10,5,1999,-9,0,"Military Junta for the Consolidation of Democracy, Peace and Justice",,,Government,"Guinea, Senegal",1,0,-99,-77,2,Nationwide,Nationwide,1,7,7,13,,,,,UPPSALA CONFLICT #216,CH,0,12.0758,-14.6407,,no
4040006,6,404,Guinea-Bissau,3-Nov-99,3-Nov-99,1,3,11,1999,3,11,1999,1,0,soldiers,,,central government,,1,0,3,0,0,Bissau,Bissau,1,1,1,2,,,Soldiers demonstrate outside army headquarters demanding promised pay.,1,,CC,0,11.8667,-15.6,,
4040007,7,404,Guinea-Bissau,28-Nov-99,28-Nov-99,1,28,11,1999,28,11,1999,3,0,youths,,,central government,,1,0,-99,0,1,Bissau,Bissau,1,1,1,1,,,Scattered riots due to election material not arriving at polling stations.,1,,CC,0,11.8667,-15.6,,
4040008,8,404,Guinea-Bissau,8-Dec-99,8-Dec-99,1,8,12,1999,8,12,1999,1,0,soldiers,,,central government,,1,0,3,0,0,Bissau,Bissau,1,1,1,2,,,Soldiers protest over unpaid wages.,0,,CC,0,11.8667,-15.6,,
4040009,9,404,Guinea-Bissau,5-Jan-00,5-Jan-00,1,5,1,2000,5,1,2000,4,0,Mandinges,,,Balantes,,0,0,-99,1,1,Bissora,Bissora,1,3,3,3,5,,Ethnic clash between Mandinges and Balantes began when an animal got into a rice paddy.,0,,CC,0,12.2259,-15.4566,,
4040010,10,404,Guinea-Bissau,22-Nov-00,22-Nov-00,1,22,11,2000,22,11,2000,7,0,military,,,insurgents,,0,0,-99,0,0,Mansoa,Mansoa,1,2,2,11,,,Soldiers fight insurgents.,1,"Unclear who initiated the fighting, could be coded as pro-government or anti-government.",CC,0,12.0803,-15.3233,,
4040011,11,404,Guinea-Bissau,23-Nov-00,23-Nov-00,1,23,11,2000,23,11,2000,7,0,military,,,insurgents,,0,0,-99,-99,0,Bissau,Bissau,1,1,1,11,,,Soldiers attack suspected holding place of insurgents supporting Brig. Ansumane Mane.,1,Reports of several dead.,CC,0,11.8667,-15.6,,
