Year,Value
1961,49866.0
1962,50246.0
1963,50648.0
1964,51055.0
1965,51453.0
1966,51839.0
1967,52215.0
1968,52584.0
1969,52953.0
1970,53324.0
1971,53700.0
1972,54074.0
1973,54438.0
1974,54781.0
1975,55095.0
1976,55377.0
1977,55627.0
1978,55849.0
1979,56046.0
1980,56221.0
1981,56376.0
1982,56510.0
1983,56622.0
1984,56709.0
1985,56772.0
1986,56809.0
1987,56823.0
1988,56824.0
1989,56824.0
1990,56832.0
1991,56855.0
1992,56894.0
1993,56937.0
1994,56964.0
1995,56967.0
1996,56937.0
1997,56887.0
1998,56850.0
1999,56873.0
2000,56986.0
2001,57200.0
2002,57501.0
2003,57868.0
2004,58267.0
2005,58672.0
2006,59078.0
2007,59486.0
2008,59874.0
2009,60220.0
2010,60509.0
2011,60729.0
2012,60885.0
2013,60990.0
2014,61070.0
2015,61142.0
